roi,r,p,metric
7Networks_RH_Vis_4,0.06477016026423262,0.8589081717986105,Views
7Networks_RH_Vis_5,-0.019218711499164407,0.9579745933455834,Views
7Networks_RH_Vis_6,0.0571359710908738,0.8754222803996246,Views
7Networks_RH_Vis_7,-0.02108394123494091,0.9538993754217897,Views
7Networks_RH_Vis_8,0.06882761390944256,0.8501508104243964,Views
7Networks_RH_Vis_9,0.4680117020347424,0.17253376128505887,Views
7Networks_RH_Vis_10,0.09937502242437897,0.7847511900436501,Views
7Networks_RH_Vis_11,0.19938778327140294,0.5807693127515416,Views
7Networks_RH_Vis_12,0.003460393278791,0.9924304803429415,Views
7Networks_RH_Vis_13,0.11970969633629572,0.7418555159124841,Views
7Networks_RH_Vis_14,0.030210921827648056,0.9339738925145391,Views
7Networks_RH_Vis_15,0.18151511425983435,0.6157614660817702,Views
7Networks_RH_Vis_16,0.18669132564511426,0.6055513231767315,Views
7Networks_RH_Vis_17,-0.013582686610318306,0.9702933540049294,Views
7Networks_RH_Vis_18,-0.03315065950326536,0.9275625736100092,Views
7Networks_RH_Vis_19,0.20440185737457542,0.5710884017712802,Views
7Networks_RH_Vis_20,0.03858674732613079,0.9157170569462175,Views
7Networks_RH_Vis_21,0.12709671397414937,0.7264236598252648,Views
7Networks_RH_Vis_22,0.1078629573101553,0.7667758144530781,Views
7Networks_RH_Vis_23,0.2291295432593807,0.5242748507069119,Views
7Networks_RH_Vis_24,0.043135961362213406,0.9058154651366933,Views
7Networks_RH_Vis_25,0.2557463670823554,0.47573239555754143,Views
7Networks_RH_Vis_26,0.16094404332542045,0.656913582313202,Views
7Networks_RH_Vis_27,0.08542756185153913,0.8144850202703768,Views
7Networks_RH_Vis_28,0.24759748673019535,0.4903807229011959,Views
7Networks_RH_Vis_29,0.28804514301114936,0.41962939081715245,Views
7Networks_RH_Vis_30,0.291961676788718,0.4130469016769265,Views
7Networks_RH_SomMot_1,0.062327265661750106,0.8641875148502765,Views
7Networks_RH_SomMot_2,0.20570250907995563,0.5685872367710162,Views
7Networks_RH_SomMot_3,0.11584084737921435,0.749971280741509,Views
7Networks_RH_SomMot_4,0.007042643386875658,0.9845949816771897,Views
7Networks_RH_SomMot_5,0.5720458760242242,0.08400179460527153,Views
7Networks_RH_SomMot_6,0.5428895883594042,0.10488897743458628,Views
7Networks_RH_SomMot_7,0.03947663505704144,0.9137793112809603,Views
7Networks_RH_SomMot_8,-0.25732940210405475,0.47290919542350174,Views
7Networks_RH_SomMot_9,0.14055132891370598,0.698546010603764,Views
7Networks_RH_SomMot_10,0.3565598112028694,0.3118522025742081,Views
7Networks_RH_SomMot_11,0.3190987535053045,0.3688104680506281,Views
7Networks_RH_SomMot_12,0.2622215810377457,0.4642312230966794,Views
7Networks_RH_SomMot_13,0.40828869865383827,0.24145282164333365,Views
7Networks_RH_SomMot_14,-0.11363330703399858,0.7546120541976069,Views
7Networks_RH_SomMot_15,0.36854428283871093,0.2946749634283931,Views
